Aasta,ICD10,Organ,Paikmed,Sugu,Vanusrühmad kokku,Vanus0-4,Vanus5-9,Vanus10-14,Vanus15-19,Vanus20-24,Vanus25-29,Vanus30-34,Vanus35-39,Vanus40-44,Vanus45-49,Vanus50-54,Vanus55-59,Vanus60-64,Vanus65-69,Vanus70-74,Vanus75-79,Vanus80-84,Vanus85pluss
2000,C00,..Huul (C00),"Huul, suuõõs, neel (C00–C14)",Mehed,14,0,0,0,0,0,0,0,0,0,0,1,1,2,4,4,0,1,1
2001,C00,..Huul (C00),"Huul, suuõõs, neel (C00–C14)",Mehed,11,0,0,0,0,0,0,0,0,0,1,0,1,2,3,1,1,0,2
2002,C00,..Huul (C00),"Huul, suuõõs, neel (C00–C14)",Mehed,10,0,0,0,0,0,0,0,0,0,0,2,0,1,0,4,1,2,0
2003,C00,..Huul (C00),"Huul, suuõõs, neel (C00–C14)",Mehed,16,0,0,0,0,0,0,0,0,0,1,0,0,3,3,3,4,1,1
2004,C00,..Huul (C00),"Huul, suuõõs, neel (C00–C14)",Mehed,14,0,0,0,0,0,0,0,0,0,1,1,1,3,2,3,2,1,0
2005,C00,..Huul (C00),"Huul, suuõõs, neel (C00–C14)",Mehed,14,0,0,0,0,0,0,0,0,0,0,0,1,1,2,5,3,0,2
2006,C00,..Huul (C00),"Huul, suuõõs, neel (C00–C14)",Mehed,10,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,1,1,2
2007,C00,..Huul (C00),"Huul, suuõõs, neel (C00–C14)",Mehed,12,0,0,0,0,0,0,0,0,0,0,2,0,1,2,4,2,1,0
2008,C00,..Huul (C00),"Huul, suuõõs, neel (C00–C14)",Mehed,12,0,0,0,0,0,0,0,0,0,1,1,1,1,2,3,2,1,0
2009,C00,..Huul (C00),"Huul, suuõõs, neel (C00–C14)",Mehed,6,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,0
2000,C00,..Huul (C00),"Huul, suuõõs, neel (C00–C14)",Naised,11,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,2,0,3
2001,C00,..Huul (C00),"Huul, suuõõs, neel (C00–C14)",Naised,10,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,1,4,0
2002,C00,..Huul (C00),"Huul, suuõõs, neel (C00–C14)",Naised,4,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0
2003,C00,..Huul (C00),"Huul, suuõõs, neel (C00–C14)",Naised,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,2,0
2004,C00,..Huul (C00),"Huul, suuõõs, neel (C00–C14)",Naised,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,2,1,2
2005,C00,..Huul (C00),"Huul, suuõõs, neel (C00–C14)",Naised,5,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,1,0
2006,C00,..Huul (C00),"Huul, suuõõs, neel (C00–C14)",Naised,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2
2007,C00,..Huul (C00),"Huul, suuõõs, neel (C00–C14)",Naised,9,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,4,1,1
2008,C00,..Huul (C00),"Huul, suuõõs, neel (C00–C14)",Naised,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,1
2009,C00,..Huul (C00),"Huul, suuõõs, neel (C00–C14)",Naised,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,1
2000,C00–C97,Kõik paikmed (C00-C97),Kõik paikmed (C00-C97),Mehed,2917,5,5,6,4,13,17,15,39,70,114,195,320,454,528,576,317,133,106
2001,C00–C97,Kõik paikmed (C00-C97),Kõik paikmed (C00-C97),Mehed,2973,7,2,7,16,11,23,23,37,60,129,220,256,446,553,589,360,150,84
2002,C00–C97,Kõik paikmed (C00-C97),Kõik paikmed (C00-C97),Mehed,3001,7,3,5,13,16,16,13,31,57,107,198,270,461,543,598,375,192,96
2003,C00–C97,Kõik paikmed (C00-C97),Kõik paikmed (C00-C97),Mehed,3126,5,3,3,12,9,14,17,32,64,96,206,277,450,564,634,451,194,95
2004,C00–C97,Kõik paikmed (C00-C97),Kõik paikmed (C00-C97),Mehed,3382,6,5,5,10,11,24,27,29,47,105,202,308,497,638,648,470,235,115
2005,C00–C97,Kõik paikmed (C00-C97),Kõik paikmed (C00-C97),Mehed,3224,3,3,1,10,7,11,16,18,49,123,197,337,382,603,616,522,217,109
2006,C00–C97,Kõik paikmed (C00-C97),Kõik paikmed (C00-C97),Mehed,3666,7,1,4,9,13,16,22,30,64,102,251,345,452,710,682,551,273,134
